SINR,Actual SE (bps/Hz),Estimated SE (bps/Hz),Shannon SE (bps/Hz)
-10,0.093487805,0.1608,0.1608
-9,0.087306646,0.1608,0.1608
-8,0.196376893,0.1608,0.1608
-7,0.17729286,0.5769,0.5769
-6,0.352423566,0.9218,0.9218
-5,0.51950257,1.2045,1.2045
-4,0.62545744,1.434,1.434
-3,1.02768581,1.6193,1.6193
-2,1.038381578,1.7694,1.7694
-1,1.20527444,1.8933,1.8933
0,2.561244062,2,2
1,2.578516473,2.0985,2.229544687
2,2.751236396,2.1978,2.485434755
3,2.916346224,2.3069,2.770693927
4,2.989382841,2.4348,3.088692961
5,3.045105225,2.5905,3.443189491
6,3.271110991,2.783,3.838372417
7,3.478252165,3.0213,4.278911415
8,3.679643591,3.3144,4.770012105
9,3.798215736,3.6713,5.317477572
10,3.933782171,4.101,5.927776934
11,3.904917142,4.6125,6.608121784
12,4.356144465,5.2148,7.366551407
13,4.971374429,5.9169,8.212027775
14,5.611636063,6.7278,9.154541447
15,6.320271341,7.6565,10.20522962
16,9.458416403,8.712,11.37650774
17,10.78475031,9.9033,12.68221619
18,11.49155948,11.2394,14.13778387
19,,12.7293,15.76041045
20,,14.382,17.56926969
